"id","season","squad","tackles","tackles_won","tackles_def_3rd","tackles_mid_3rd","tackles_att_3rd","dribble_tackles","dribbles_vs","dribble_tackles_pct","dribbled_past","pressures","pressure_regains","pressure_regain_pct","pressures_def_3rd","pressures_mid_3rd","pressures_att_3rd","blocks","blocked_shots","blocked_shots_saves","blocked_passes","interceptions","tackles_interceptions","clearances","errors"
"1840e36d","2008-2009","Genk",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2010-2011","Genk",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2011-2012","Atlético Madrid",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2012-2013","Atlético Madrid",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2013-2014","Atlético Madrid",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2014-2015","Chelsea",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2015-2016","Chelsea",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2016-2017","Chelsea",NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
"1840e36d","2017-2018","Chelsea",0,0,0,0,0,0,0,NULL,0,4,0,0,4,0,0,0,0,0,0,0,0,3,1
"1840e36d","2018-2019","Real Madrid",0,0,0,0,0,0,3,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0
"1840e36d","2019-2020","Real Madrid",0,0,0,0,0,0,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,3,2
"1840e36d","2020-2021","Real Madrid",0,0,0,0,0,0,0,NULL,0,3,1,33.3,3,0,0,1,0,0,1,0,0,1,5
"1840e36d","2021-2022","Real Madrid",0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"2784f898","2017","São Paulo",NULL,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,49,NULL,NULL,NULL
"2784f898","2018","São Paulo",NULL,36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26,NULL,NULL,NULL
"2784f898","2018-2019","Porto",NULL,43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,64,NULL,NULL,NULL
"2784f898","2019-2020","Real Madrid",23,14,14,9,0,5,10,50,5,101,34,33.7,57,42,2,14,7,0,7,14,37,56,1
"2784f898","2020-2021","Real Madrid",22,13,16,6,0,8,19,42.1,11,113,41,36.3,63,40,10,21,6,0,15,21,43,72,0
"2784f898","2021-2022","Real Madrid",34,20,23,6,5,15,30,50,15,148,47,31.8,91,44,13,22,11,0,11,38,72,71,1
