"id","season","squad","sca","sca_per90","sca_passes_live","sca_passes_dead","sca_dribbles","sca_shots","sca_fouled","sca_defense","gca_per90","gca_passes_live","gca_passes_dead","gca_dribbles","gca_shots","gca_fouled","gca_defense"

"1840e36d","2008-2009","Genk",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2010-2011","Genk",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2011-2012","Atlético Madrid",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2012-2013","Atlético Madrid",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2013-2014","Atlético Madrid",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2014-2015","Chelsea",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2015-2016","Chelsea",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2016-2017","Chelsea",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2017-2018","Chelsea",5,0.14,4,1,0,0,0,0,0,0,0,0,0,0,0
"1840e36d","2018-2019","Real Madrid",2,0.07,1,1,0,0,0,0,0,0,0,0,0,0,0
"1840e36d","2019-2020","Real Madrid",1,0.03,1,0,0,0,0,0,0,0,0,0,0,0,0
"1840e36d","2020-2021","Real Madrid",4,0.11,4,0,0,0,0,0,0,0,0,0,0,0,0
"1840e36d","2021-2022","Real Madrid",3,0.16,3,0,0,0,0,0,0.05,1,0,0,0,0,0
"2784f898","2017","São Paulo",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2784f898","2018","São Paulo",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2784f898","2018-2019","Porto",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2784f898","2019-2020","Real Madrid",4,0.35,4,0,0,0,0,0,0,0,0,0,0,0,0
"2784f898","2020-2021","Real Madrid",7,0.56,7,0,0,0,0,0,0.08,1,0,0,0,0,0
"2784f898","2021-2022","Real Madrid",15,0.83,9,1,0,2,2,1,0.17,2,0,0,1,0,0
