"id","season","squad","cards_yellow_red","fouls","fouled","offsides","pens_won","pens_conceded","own_goals","ball_recoveries","aerials_won","aerials_lost","aerials_won_pct"
"1840e36d","2008-2009","Genk",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2010-2011","Genk",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2011-2012","Atlético Madrid",NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2012-2013","Atlético Madrid",NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2013-2014","Atlético Madrid",NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2014-2015","Chelsea",NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2015-2016","Chelsea",NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2016-2017","Chelsea",0,0,2,0,0,1,0,NULL,NULL,NULL,NULL
"1840e36d","2017-2018","Chelsea",0,2,3,0,0,2,0,185,0,2,0
"1840e36d","2018-2019","Real Madrid",0,0,5,0,0,0,0,118,0,0,NULL
"1840e36d","2019-2020","Real Madrid",0,0,4,0,0,0,0,161,1,0,100
"1840e36d","2020-2021","Real Madrid",0,1,4,0,0,1,0,177,0,0,NULL
"1840e36d","2021-2022","Real Madrid",0,1,2,0,0,1,0,72,0,0,NULL
"2784f898","2017","São Paulo",0,26,28,1,0,1,0,NULL,NULL,NULL,NULL
"2784f898","2018","São Paulo",0,24,15,0,0,0,0,NULL,NULL,NULL,NULL
"2784f898","2018-2019","Porto",0,46,35,1,1,0,0,NULL,NULL,NULL,NULL
"2784f898","2019-2020","Real Madrid",0,18,15,2,0,0,0,106,39,10,79.6
"2784f898","2020-2021","Real Madrid",0,14,13,0,0,1,0,98,36,10,78.3
"2784f898","2021-2022","Real Madrid",0,20,23,0,0,0,0,141,48,17,73.8
