"id","season","squad","passes_completed","passes","passes_pct","passes_total_distance","passes_progressive_distance","passes_completed_short","passes_short","passes_pct_short","passes_completed_medium","passes_medium","passes_pct_medium","passes_completed_long","passes_long","passes_pct_long","xa_net","assisted_shots","passes_into_final_third","passes_into_penalty_area","crosses_into_penalty_area","progressive_passes"
"1840e36d","2008-2009","Genk",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2010-2011","Genk",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2011-2012","Atlético Madrid",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2012-2013","Atlético Madrid",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2013-2014","Atlético Madrid",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2014-2015","Chelsea",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2015-2016","Chelsea",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2016-2017","Chelsea",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1840e36d","2017-2018","Chelsea",896,1194,75,27001,16086,105,106,99.1,483,486,99.4,305,596,51.2,0,0,11,0,0,0
"1840e36d","2018-2019","Real Madrid",643,831,77.4,18387,9686,76,76,100,371,374,99.2,194,378,51.3,0,0,0,0,0,0
"1840e36d","2019-2020","Real Madrid",849,1084,78.3,21914,10822,142,142,100,511,513,99.6,196,428,45.8,0,0,4,0,0,0
"1840e36d","2020-2021","Real Madrid",1076,1307,82.3,28720,14815,163,165,98.8,617,619,99.7,292,518,56.4,0,0,12,1,0,0
"1840e36d","2021-2022","Real Madrid",490,621,78.9,12699,6734,88,88,100,275,275,100,123,254,48.4,0,0,3,0,0,1
"2784f898","2017","São Paulo",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2784f898","2018","São Paulo",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2784f898","2018-2019","Porto",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2784f898","2019-2020","Real Madrid",599,683,87.7,13131,3401,162,176,92,321,348,92.2,111,146,76,0,1,20,3,1,19
"2784f898","2020-2021","Real Madrid",695,768,90.5,15764,4289,187,199,94,348,362,96.1,154,195,79,0,0,29,1,1,24
"2784f898","2021-2022","Real Madrid",937,1047,89.5,20399,5794,277,293,94.5,455,484,94,192,248,77.4,0.4,5,73,2,0,38
